epoch,step,test_RMSE,train_loss,val_RMSE,val_loss
0,9,,0.00024177526938728988,,
0,19,,0.00024018617114052176,,
0,29,,0.00026216969126835465,,
0,39,,0.00011390758299967274,,
0,49,,8.826779230730608e-05,,
0,59,,0.0001952469756361097,,
0,60,,,21.27422332763672,1.8349064703215845e-05
1,69,,0.000155363988596946,,
1,79,,5.8558103773975745e-05,,
1,89,,4.191580228507519e-05,,
1,99,,4.97834880661685e-05,,
1,109,,2.3012165911495686e-05,,
1,119,,2.178513204853516e-05,,
1,121,,,32.40628433227539,1.8201155398855917e-05
2,129,,2.1235604435787536e-05,,
2,139,,3.114637729595415e-05,,
2,149,,2.5365794499521144e-05,,
2,159,,2.7622578272712417e-05,,
2,169,,3.415983519516885e-05,,
2,179,,1.4712253687321208e-05,,
2,182,,,36.58464431762695,2.0817258700844832e-05
3,189,,2.027765913226176e-05,,
3,199,,2.06444165087305e-05,,
3,209,,4.0785380406305194e-05,,
3,219,,3.338321403134614e-05,,
3,229,,2.2894937501405366e-05,,
3,239,,2.5009154342114925e-05,,
3,243,,,36.617897033691406,2.0838862837990746e-05
4,249,,3.3794683986343443e-05,,
4,259,,3.1222167308442295e-05,,
4,269,,3.120664769085124e-05,,
4,279,,3.366220335010439e-05,,
4,289,,2.1104026018292643e-05,,
4,299,,2.2376238121069036e-05,,
4,304,,,35.74784851074219,2.0282135665183887e-05
5,309,,3.5685119655681774e-05,,
5,319,,2.8898064556415193e-05,,
5,329,,3.561593621270731e-05,,
5,339,,2.8898875825689174e-05,,
5,349,,2.3049366063787602e-05,,
5,359,,1.1456237189122476e-05,,
5,365,,,31.967931747436523,1.802605220291298e-05
6,369,,2.5670475224615075e-05,,
6,379,,3.1132101867115125e-05,,
6,389,,2.101625250361394e-05,,
6,399,,1.8759132217383012e-05,,
6,409,,1.955377410922665e-05,,
6,419,,1.904254713736009e-05,,
6,426,,,25.463899612426758,1.558692747494206e-05
7,429,,6.375017255777493e-05,,
7,439,,1.718818566587288e-05,,
7,449,,1.8084196199197322e-05,,
7,459,,2.5101697247009724e-05,,
7,469,,1.3963126548333094e-05,,
7,479,,1.605842771823518e-05,,
7,487,,,22.616098403930664,1.4587801160814706e-05
8,489,,1.786187567631714e-05,,
8,499,,1.7400398064637557e-05,,
8,509,,1.4963426110625733e-05,,
8,519,,1.9393839465919882e-05,,
8,529,,1.2194578630442265e-05,,
8,539,,1.4818880117672961e-05,,
8,548,,,25.725170135498047,1.479250113334274e-05
9,549,,2.109107117576059e-05,,
9,559,,3.0371784305316396e-05,,
9,569,,1.6616982975392602e-05,,
9,579,,1.3986935300636105e-05,,
9,589,,1.59273695317097e-05,,
9,599,,1.6681338820490055e-05,,
9,609,,1.3258478247735184e-05,,
9,609,,,22.538246154785156,1.3138484973751474e-05
10,619,,1.7595506506040692e-05,,
10,629,,2.6397085093776695e-05,,
10,639,,1.1421507224440575e-05,,
10,649,,1.4194092727848329e-05,,
10,659,,1.8587101294542663e-05,,
10,669,,1.3622020560433157e-05,,
10,670,,,18.9311580657959,1.5988469385774806e-05
11,679,,1.861226701294072e-05,,
11,689,,1.7331060007563792e-05,,
11,699,,2.1481408111867495e-05,,
11,709,,9.522008440399077e-06,,
11,719,,1.884891025838442e-05,,
11,729,,1.2200791388750076e-05,,
11,731,,,18.590665817260742,1.4555584129993804e-05
12,739,,8.017463187570684e-06,,
12,749,,1.81132199941203e-05,,
12,759,,1.8817048839991912e-05,,
12,769,,1.281479671888519e-05,,
12,779,,1.8455088138580322e-05,,
12,789,,9.691858394944575e-06,,
12,792,,,18.701969146728516,1.2027619959553704e-05
13,799,,1.8383030692348257e-05,,
13,809,,1.1363462363078725e-05,,
13,819,,1.1085643564001657e-05,,
13,829,,1.3751377082371619e-05,,
13,839,,1.2737146789731923e-05,,
13,849,,1.925699871208053e-05,,
13,853,,,19.145418167114258,1.1031641406589188e-05
14,859,,1.2107505426683929e-05,,
14,869,,1.548607360746246e-05,,
14,879,,0.00013880289043299854,,
14,889,,1.1378165254427586e-05,,
14,899,,1.1982093383267056e-05,,
14,909,,1.2063779649906792e-05,,
14,914,,,16.086530685424805,1.1313773939036764e-05
15,919,,0.00012152020644862205,,
15,929,,1.781925129762385e-05,,
15,939,,1.2351599252724554e-05,,
15,949,,1.7483840565546416e-05,,
15,959,,1.6246831364696845e-05,,
15,969,,1.9651808543130755e-05,,
15,975,,,14.448103904724121,1.5631385394954123e-05
16,979,,1.1302663551759906e-05,,
16,989,,1.6752792362240143e-05,,
16,999,,1.6044348740251735e-05,,
16,1009,,1.8166505469707772e-05,,
16,1019,,1.1447023098298814e-05,,
16,1029,,1.625450749997981e-05,,
16,1036,,,15.503704071044922,1.1686696780088823e-05
17,1039,,1.4002627722220495e-05,,
17,1049,,1.638281173654832e-05,,
17,1059,,1.4752128663531039e-05,,
17,1069,,1.2234777386765927e-05,,
17,1079,,1.314902510785032e-05,,
17,1089,,1.2736559256154578e-05,,
17,1097,,,15.280210494995117,1.1038518096029293e-05
18,1099,,1.4481928701570723e-05,,
18,1109,,1.4577971342077944e-05,,
18,1119,,1.2029621757392306e-05,,
18,1129,,1.1447562428656965e-05,,
18,1139,,1.5272180462488905e-05,,
18,1149,,1.0387973816250451e-05,,
18,1158,,,13.338634490966797,1.1680253010126762e-05
19,1159,,1.1902589903911576e-05,,
19,1169,,1.7080865291063674e-05,,
19,1179,,7.921646101749502e-06,,
19,1189,,1.0888172255363315e-05,,
19,1199,,8.434672963630874e-06,,
19,1209,,1.9081706341239624e-05,,
19,1219,,2.0903213226119988e-05,,
19,1219,,,13.590272903442383,1.2471643458411563e-05
20,1229,,1.4979764273448382e-05,,
20,1239,,8.287983291666023e-06,,
20,1249,,1.2397854334267322e-05,,
20,1259,,7.870435183576774e-06,,
20,1269,,1.3726244105782825e-05,,
20,1279,,2.0310191757744178e-05,,
20,1280,,,13.402839660644531,1.0433772331452928e-05
21,1289,,7.905604434199631e-06,,
21,1299,,8.08853110356722e-06,,
21,1309,,1.1615741641435307e-05,,
21,1319,,1.4279929928306956e-05,,
21,1329,,1.076366697816411e-05,,
21,1339,,8.311918463732582e-06,,
21,1341,,,12.91478157043457,1.23119689305895e-05
22,1349,,9.435495485377032e-06,,
22,1359,,1.3209929420554545e-05,,
22,1369,,8.334069207194261e-06,,
22,1379,,1.100863482861314e-05,,
22,1389,,8.809776772977784e-06,,
22,1399,,1.5606825400027446e-05,,
22,1402,,,12.278216361999512,1.1591615475481376e-05
23,1409,,9.648043487686664e-06,,
23,1419,,1.0981504601659253e-05,,
23,1429,,9.634502021071967e-06,,
23,1439,,8.995222742669284e-06,,
23,1449,,1.0886798008868936e-05,,
23,1459,,1.0991786439262796e-05,,
23,1463,,,14.593330383300781,1.0428198947920464e-05
24,1469,,3.1023337214719504e-05,,
24,1479,,9.142880116996821e-06,,
24,1489,,7.520316103182267e-06,,
24,1499,,9.19752346817404e-06,,
24,1509,,7.921723408799153e-06,,
24,1519,,8.275483196484856e-06,,
24,1524,,,12.869119644165039,9.509993105893955e-06
25,1529,,8.951989912020508e-06,,
25,1539,,9.573363058734685e-06,,
25,1549,,5.982471520837862e-06,,
25,1559,,1.000978136289632e-05,,
25,1569,,7.520241069869371e-06,,
25,1579,,7.427762739098398e-06,,
25,1585,,,12.442084312438965,1.195209097204497e-05
26,1589,,1.0515094800211955e-05,,
26,1599,,9.604730621504132e-06,,
26,1609,,8.176094524969812e-06,,
26,1619,,7.537832971138414e-06,,
26,1629,,9.550755748932716e-06,,
26,1639,,2.2013688067090698e-05,,
26,1646,,,11.378772735595703,1.1616501979005989e-05
27,1649,,1.0955343896057457e-05,,
27,1659,,1.498884830652969e-05,,
27,1669,,8.255577085947152e-06,,
27,1679,,8.351626092917286e-06,,
27,1689,,9.796098311198875e-06,,
27,1699,,1.3292926269059535e-05,,
27,1707,,,10.266212463378906,1.4038993867870886e-05
28,1709,,6.657468475168571e-06,,
28,1719,,1.1236178579565603e-05,,
28,1729,,1.1039770470233634e-05,,
28,1739,,9.14397242013365e-06,,
28,1749,,7.500656920456095e-06,,
28,1759,,1.1230918062210549e-05,,
28,1768,,,12.203240394592285,9.078656148631126e-06
29,1769,,8.407045243075117e-06,,
29,1779,,9.904671969707124e-06,,
29,1789,,1.2412991054588929e-05,,
29,1799,,4.792026174982311e-06,,
29,1809,,7.703484698140528e-06,,
29,1819,,1.1862269275297876e-05,,
29,1829,,1.1895986972376704e-05,,
29,1829,,,10.504643440246582,1.1692072803271003e-05
30,1839,,9.844722626439761e-06,,
30,1849,,7.88824399933219e-06,,
30,1859,,9.716867680253927e-06,,
30,1869,,1.1432901374064386e-05,,
30,1879,,8.058025741775054e-06,,
30,1889,,1.0226002814306412e-05,,
30,1890,,,9.394796371459961,1.164668174169492e-05
31,1899,,1.024471021082718e-05,,
31,1909,,1.311179221374914e-05,,
31,1919,,1.2255234651092906e-05,,
31,1929,,8.10475194157334e-06,,
31,1939,,1.4355467101268005e-05,,
31,1949,,1.3204156857682392e-05,,
31,1951,,,9.789173126220703,1.277811225008918e-05
32,1959,,1.7777179891709238e-05,,
32,1969,,6.673228654108243e-06,,
32,1979,,6.331761142064352e-06,,
32,1989,,8.344580237462651e-06,,
32,1999,,8.490015716233756e-06,,
32,2009,,1.1648026884358842e-05,,
32,2012,,,9.63222885131836,1.1798066225310322e-05
33,2019,,8.148501365212724e-06,,
33,2029,,8.729190994927194e-06,,
33,2039,,1.4738076970388647e-05,,
33,2049,,1.8582819393486716e-05,,
33,2059,,7.797759280947503e-06,,
33,2069,,1.0354996447858866e-05,,
33,2073,,,10.418220520019531,1.0658283827069681e-05
34,2079,,1.1581125363591127e-05,,
34,2089,,7.950924555188976e-06,,
34,2099,,8.440910278295632e-06,,
34,2109,,8.805144716461655e-06,,
34,2119,,8.099789738480467e-06,,
34,2129,,6.028441930538975e-06,,
34,2134,,,9.305420875549316,9.997194865718484e-06
35,2139,,7.0904166022955906e-06,,
35,2149,,1.5953142792568542e-05,,
35,2159,,8.509448889526539e-06,,
35,2169,,1.188958776765503e-05,,
35,2179,,1.1938843272218946e-05,,
35,2189,,1.398225958837429e-05,,
35,2195,,,8.759697914123535,9.589228284312412e-06
36,2199,,7.789746632624883e-06,,
36,2209,,8.82934546098113e-06,,
36,2219,,6.478996056102915e-06,,
36,2229,,4.399837962409947e-06,,
36,2239,,1.0552467756497208e-05,,
36,2249,,5.702136149920989e-06,,
36,2256,,,8.224610328674316,1.0447640306665562e-05
37,2259,,6.812431365688099e-06,,
37,2269,,8.905512913770508e-06,,
37,2279,,1.2138180863985326e-05,,
37,2289,,1.1626000741671305e-05,,
37,2299,,5.786434030596865e-06,,
37,2309,,8.335496204381343e-06,,
37,2317,,,9.16006088256836,8.268817509815563e-06
38,2319,,8.180605618690606e-06,,
38,2329,,5.693111688742647e-06,,
38,2339,,5.359477199817775e-06,,
38,2349,,6.087385372666176e-06,,
38,2359,,5.586526185652474e-06,,
38,2369,,6.4603359533066396e-06,,
38,2378,,,9.203817367553711,8.11275458545424e-06
39,2379,,1.206474826176418e-05,,
39,2389,,6.18122840023716e-06,,
39,2399,,6.41544420432183e-06,,
39,2409,,6.5739509409468155e-06,,
39,2419,,6.709689387207618e-06,,
39,2429,,8.507811799063347e-06,,
39,2439,,8.166826773958746e-06,,
39,2439,,,8.667656898498535,8.532295396435075e-06
40,2449,,4.861260094912723e-06,,
40,2459,,6.8117110458842944e-06,,
40,2469,,5.936673460382735e-06,,
40,2479,,8.661078027216718e-06,,
40,2489,,1.1706561053870246e-05,,
40,2499,,1.0475876479176804e-05,,
40,2500,,,8.683618545532227,7.025395461823791e-06
41,2509,,1.068064921128098e-05,,
41,2519,,1.1026670108549297e-05,,
41,2529,,7.924455530883279e-06,,
41,2539,,7.070376341289375e-06,,
41,2549,,6.4140986069105566e-06,,
41,2559,,6.6288880589127075e-06,,
41,2561,,,8.518692016601562,8.584127499489114e-06
42,2569,,5.335124569683103e-06,,
42,2579,,9.341173608845565e-06,,
42,2589,,5.694441369996639e-06,,
42,2599,,8.591385267209262e-06,,
42,2609,,8.836412234813906e-06,,
42,2619,,7.142458343878388e-06,,
42,2622,,,7.689568042755127,9.029817192640621e-06
43,2629,,6.8633994487754535e-06,,
43,2639,,5.33107049704995e-06,,
43,2649,,6.7856321948056575e-06,,
43,2659,,3.888903393090004e-06,,
43,2669,,5.033131401432911e-06,,
43,2679,,6.422919796023052e-06,,
43,2683,,,9.461760520935059,7.708688826824073e-06
44,2689,,5.619713192572817e-06,,
44,2699,,5.381512437452329e-06,,
44,2709,,8.836940651235636e-06,,
44,2719,,6.519730504805921e-06,,
44,2729,,4.400919806357706e-06,,
44,2739,,6.962151019251905e-06,,
44,2744,,,8.235580444335938,7.889544576755725e-06
45,2749,,5.398740995588014e-06,,
45,2759,,6.96710867487127e-06,,
45,2769,,6.265077445277711e-06,,
45,2779,,6.167970241222065e-06,,
45,2789,,5.6775365919747856e-06,,
45,2799,,5.897227765672142e-06,,
45,2805,,,8.40992259979248,6.692899205518188e-06
46,2809,,8.338737643498462e-06,,
46,2819,,6.376058536261553e-06,,
46,2829,,7.400045433314517e-06,,
46,2839,,7.613904926984105e-06,,
46,2849,,9.204881280311383e-06,,
46,2859,,9.338994459540118e-06,,
46,2866,,,7.182188987731934,1.0275493877998088e-05
47,2869,,4.179999450570904e-06,,
47,2879,,1.1657060895231552e-05,,
47,2889,,8.088511094683781e-06,,
47,2899,,8.129039088089485e-06,,
47,2909,,5.145355316926725e-06,,
47,2919,,6.098032827139832e-06,,
47,2927,,,6.12432861328125,1.0899946573772468e-05
48,2929,,1.681039429968223e-05,,
48,2939,,7.162015208450612e-06,,
48,2949,,5.9599155974865425e-06,,
48,2959,,5.049757874076022e-06,,
48,2969,,4.963601440977072e-06,,
48,2979,,5.64432275496074e-06,,
48,2988,,,5.658063888549805,1.0783972356875893e-05
49,2989,,8.773541594564449e-06,,
49,2999,,7.777697646815795e-06,,
49,3009,,1.4104826732364018e-05,,
49,3019,,4.793012976733735e-06,,
49,3029,,6.9250331762304995e-06,,
49,3039,,4.686466127168387e-06,,
49,3049,,4.064640961587429e-06,,
49,3049,,,6.6448750495910645,8.789944331510924e-06
50,3059,,4.768683083966607e-06,,
50,3069,,5.819332727696747e-06,,
50,3079,,6.913602646818617e-06,,
50,3089,,8.986789907794446e-06,,
