epoch,step,test_RMSE,train_loss,val_RMSE,val_loss
0,9,,0.00012362602865323424,,
0,19,,0.0002864910929929465,,
0,29,,0.0002170257066609338,,
0,39,,0.00014220373122952878,,
0,49,,0.0001483876840211451,,
0,59,,0.0003333901986479759,,
0,60,,,12.759839057922363,9.710781341709662e-06
1,69,,8.574345702072605e-05,,
1,79,,3.7253761547617614e-05,,
1,89,,9.39136662054807e-05,,
1,99,,6.508437945740297e-05,,
1,109,,2.63351175817661e-05,,
1,119,,2.3580390916322358e-05,,
1,121,,,12.032855033874512,8.635770427645184e-06
2,129,,2.2556791009264998e-05,,
2,139,,1.3860072613169905e-05,,
2,149,,1.4081061635806691e-05,,
2,159,,9.08175206859596e-06,,
2,169,,1.8060341972159222e-05,,
2,179,,1.3201717592892237e-05,,
2,182,,,13.130709648132324,1.0283481060469057e-05
3,189,,5.330061412678333e-06,,
3,199,,1.953441278601531e-05,,
3,209,,2.843887523340527e-05,,
3,219,,1.4138093320070766e-05,,
3,229,,9.808112736209296e-06,,
3,239,,7.733512575214263e-06,,
3,243,,,8.392046928405762,4.200485818728339e-06
4,249,,1.0201355507888366e-05,,
4,259,,9.400519957125653e-06,,
4,269,,2.7783711630036123e-05,,
4,279,,2.7677437174133956e-05,,
4,289,,1.151131436927244e-05,,
4,299,,2.8776696126442403e-05,,
4,304,,,10.391180038452148,6.440112429118017e-06
5,309,,1.3820429558109026e-05,,
5,319,,1.1972768334089778e-05,,
5,329,,1.1215917766094208e-05,,
5,339,,1.2391819836921059e-05,,
5,349,,1.1594946045079269e-05,,
5,359,,1.1028592780348845e-05,,
5,365,,,9.882411003112793,5.824914296681527e-06
6,369,,5.477717422763817e-06,,
6,379,,3.7372149108705344e-06,,
6,389,,2.4626808226457797e-05,,
6,399,,8.12507096270565e-06,,
6,409,,4.216528395772912e-06,,
6,419,,7.4837389547610655e-06,,
6,426,,,9.811992645263672,5.7421989367867354e-06
7,429,,1.2160156074969564e-05,,
7,439,,1.6171969036804512e-05,,
7,449,,5.56366012460785e-06,,
7,459,,3.3736265322659165e-05,,
7,469,,6.507431862701196e-06,,
7,479,,5.214747943682596e-06,,
7,487,,,9.565315246582031,5.457105089590186e-06
8,489,,1.941343543876428e-05,,
8,499,,0.00015720083320047706,,
8,509,,6.716590633004671e-06,,
8,519,,9.845452041190583e-06,,
8,529,,5.894302375963889e-06,,
8,539,,1.0430332622490823e-05,,
8,548,,,9.26465892791748,5.119441993883811e-06
9,549,,6.2517192418454215e-06,,
9,559,,6.997792752372334e-06,,
9,569,,7.72054227127228e-06,,
9,579,,7.890173947089352e-06,,
9,589,,1.9413662812439725e-05,,
9,599,,7.71887062001042e-06,,
9,609,,1.1398996321076993e-05,,
9,609,,,7.220432758331299,3.109497356490465e-06
10,619,,5.490061084856279e-06,,
10,629,,6.637385922658723e-06,,
10,639,,5.787753252661787e-06,,
10,649,,7.880685188865755e-06,,
10,659,,1.042723761202069e-05,,
10,669,,1.1690026440192014e-05,,
10,670,,,8.248957633972168,4.058465947309742e-06
11,679,,7.446816653100541e-06,,
11,689,,4.345778961578617e-06,,
11,699,,1.1983489457634278e-05,,
11,709,,1.9451290427241474e-05,,
11,719,,6.198261871759314e-06,,
11,729,,1.184676875709556e-05,,
11,731,,,5.709111213684082,1.944020141309011e-06
12,739,,4.836574134969851e-06,,
12,749,,4.328519025875721e-06,,
12,759,,1.2992471965844743e-05,,
12,769,,4.211022314848378e-06,,
12,779,,7.2774414547893684e-06,,
12,789,,4.261816229700344e-06,,
12,792,,,11.717334747314453,8.188821993826423e-06
13,799,,4.957570581609616e-06,,
13,809,,6.980689704505494e-06,,
13,819,,4.515454747888725e-06,,
13,829,,2.7654464247461874e-06,,
13,839,,6.511708761536283e-06,,
13,849,,6.2178100961318705e-06,,
13,853,,,6.10874080657959,2.225702701252885e-06
14,859,,4.287637239031028e-06,,
14,869,,3.1394408779306104e-06,,
14,879,,3.6590090530808084e-06,,
14,889,,2.3243894702318357e-06,,
14,899,,6.6802840592572466e-06,,
14,909,,4.365401764516719e-06,,
14,914,,,8.420390129089355,4.228907528158743e-06
15,919,,8.605677066952921e-06,,
15,929,,5.268138011160772e-06,,
15,939,,6.331963049888145e-06,,
15,949,,3.660660695459228e-06,,
15,959,,3.0208677799237194e-06,,
15,969,,5.2531891014950816e-06,,
15,975,,,10.088159561157227,6.069986284273909e-06
16,979,,2.3523919026047224e-06,,
16,989,,3.3234341572097037e-06,,
16,999,,3.4678262181842e-06,,
16,1009,,4.070856448379345e-06,,
16,1019,,2.414382379356539e-06,,
16,1029,,1.8154728422814514e-06,,
16,1036,,,5.084616184234619,1.5419848296005512e-06
17,1039,,3.7208039884717437e-06,,
17,1049,,2.9116788482497213e-06,,
17,1059,,4.2306678551540244e-06,,
17,1069,,9.20296588446945e-06,,
17,1079,,9.544413842377253e-06,,
17,1089,,1.1534109034982976e-05,,
17,1097,,,5.763341903686523,1.9811282072623726e-06
18,1099,,3.887228103849338e-06,,
18,1109,,7.516878213209566e-06,,
18,1119,,3.3209798857569695e-06,,
18,1129,,3.4793790746334707e-06,,
18,1139,,7.81370636104839e-06,,
18,1149,,5.306069851940265e-06,,
18,1158,,,6.95780611038208,2.8874094368802616e-06
19,1159,,2.266713181597879e-06,,
19,1169,,3.7234083265502704e-06,,
19,1179,,2.5566703243384836e-06,,
19,1189,,4.105502739548683e-06,,
19,1199,,3.939817815989954e-06,,
19,1209,,6.560603196703596e-06,,
19,1219,,8.23803202365525e-06,,
19,1219,,,7.372962951660156,3.242259708713391e-06
20,1229,,7.231810741359368e-06,,
20,1239,,5.326970040187007e-06,,
20,1249,,1.273058387596393e-05,,
20,1259,,3.1888273497315822e-06,,
20,1269,,3.5054008549195714e-06,,
20,1279,,2.137329374818364e-06,,
20,1280,,,9.515024185180664,5.3998719522496685e-06
21,1289,,9.145293006440625e-06,,
21,1299,,3.7774364045617403e-06,,
21,1309,,4.399577392177889e-06,,
21,1319,,2.2252966118685436e-06,,
21,1329,,2.34754293160222e-06,,
21,1339,,4.571810222842032e-06,,
21,1341,,,6.805113315582275,2.762068788797478e-06
22,1349,,9.821314961300232e-06,,
22,1359,,0.00018933298997581005,,
22,1369,,3.1962442790245404e-06,,
22,1379,,3.217430048607639e-06,,
22,1389,,3.096003638347611e-06,,
22,1399,,1.3356886483961716e-05,,
22,1402,,,4.669119358062744,1.3002705827602767e-06
23,1409,,2.6684281237976393e-06,,
23,1419,,5.029694420954911e-06,,
23,1429,,3.3535659440531163e-06,,
23,1439,,4.436776634975104e-06,,
23,1449,,4.8087754294101615e-06,,
23,1459,,3.961705715482822e-06,,
23,1463,,,4.670585632324219,1.3010873090024688e-06
24,1469,,7.823909072612878e-06,,
24,1479,,2.664952489794814e-06,,
24,1489,,9.48228898778325e-06,,
24,1499,,7.850824658817146e-06,,
24,1509,,3.4136596696043853e-06,,
24,1519,,5.003624210075941e-06,,
24,1524,,,8.492884635925293,4.302037268644199e-06
25,1529,,4.713117050414439e-06,,
25,1539,,1.8236213463751483e-06,,
25,1549,,6.3998240875662304e-06,,
25,1559,,3.495779992590542e-06,,
25,1569,,1.973719236048055e-06,,
25,1579,,3.2621389891573926e-06,,
25,1585,,,4.267953872680664,1.0864334853977198e-06
26,1589,,7.404688858514419e-06,,
26,1599,,4.57626174465986e-06,,
26,1609,,3.7767019875900587e-06,,
26,1619,,6.042197583155939e-06,,
26,1629,,3.3088831514760386e-06,,
26,1639,,2.889490815505269e-06,,
26,1646,,,6.943919658660889,2.8758956887031673e-06
27,1649,,6.508498245239025e-06,,
27,1659,,2.3051477455737768e-06,,
27,1669,,2.482109948687139e-06,,
27,1679,,2.6730365334515227e-06,,
27,1689,,4.59912052974687e-06,,
27,1699,,1.4547178579960018e-05,,
27,1707,,,9.654402732849121,5.559229066420812e-06
28,1709,,3.810600446740864e-06,,
28,1719,,5.126090400153771e-06,,
28,1729,,3.2996019854181213e-06,,
28,1739,,9.460003639105707e-06,,
28,1749,,1.960975623660488e-06,,
28,1759,,2.876051439670846e-06,,
28,1768,,,4.8215179443359375,1.3865363825971144e-06
29,1769,,2.6099792194145266e-06,,
29,1779,,2.3894385776657145e-06,,
29,1789,,6.936303179827519e-06,,
29,1799,,2.516097538318718e-06,,
29,1809,,6.697317985526752e-06,,
29,1819,,2.1266685052978573e-06,,
29,1829,,3.3149019600386964e-06,,
29,1829,,,5.296847820281982,1.6733960137571557e-06
30,1839,,4.51040932603064e-06,,
30,1849,,3.4723996122920653e-06,,
30,1859,,3.815982836385956e-06,,
30,1869,,3.3430908388254466e-06,,
30,1879,,2.91351466330525e-06,,
30,1889,,2.6288926164852455e-06,,
30,1890,,,8.498003959655762,4.3072254811704624e-06
31,1899,,3.354562522872584e-06,,
31,1909,,2.565078375482699e-06,,
31,1919,,4.303589776100125e-06,,
31,1929,,1.7636797338127508e-06,,
31,1939,,3.4564427551231347e-06,,
31,1949,,3.1601975933881477e-06,,
31,1951,,,4.051971435546875,9.79256583377719e-07
32,1959,,4.21017148255487e-06,,
32,1969,,8.538098882127088e-06,,
32,1979,,4.814537533093244e-06,,
32,1989,,2.5130841549980687e-06,,
32,1999,,2.933004225269542e-06,,
32,2009,,2.347687996007153e-06,,
32,2012,,,3.9340312480926514,9.230801083504048e-07
33,2019,,2.418913254587096e-06,,
33,2029,,4.101513695786707e-06,,
33,2039,,2.6188010906480486e-06,,
33,2049,,3.6139269923296524e-06,,
33,2059,,3.132598294541822e-06,,
33,2069,,1.872351958809304e-06,,
33,2073,,,7.150371551513672,3.049446377190179e-06
34,2079,,2.18639729610004e-06,,
34,2089,,4.236547738400986e-06,,
34,2099,,3.7173858800088055e-06,,
34,2109,,6.479534022219013e-06,,
34,2119,,3.950034624722321e-06,,
34,2129,,1.922745468618814e-06,,
34,2134,,,7.507165431976318,3.3613659979891963e-06
35,2139,,2.6061204607685795e-06,,
35,2149,,1.9686567611643113e-06,,
35,2159,,2.119754299201304e-06,,
35,2169,,1.6761010783739039e-06,,
35,2179,,1.882621518234373e-06,,
35,2189,,1.0756562915048562e-05,,
35,2195,,,4.79452657699585,1.3710559869650751e-06
36,2199,,5.7727429521037266e-06,,
36,2209,,3.171609250784968e-06,,
36,2219,,1.2429819435055833e-05,,
36,2229,,3.307967062937678e-06,,
36,2239,,2.4585310711700004e-06,,
36,2249,,2.7113546821055934e-06,,
36,2256,,,4.584000587463379,1.2532942719190032e-06
37,2259,,3.489715027171769e-06,,
37,2269,,1.7261942275581532e-06,,
37,2279,,2.971749381686095e-06,,
37,2289,,3.234488985981443e-06,,
37,2299,,2.528583308958332e-06,,
37,2309,,1.8227492546429858e-06,,
37,2317,,,7.272677898406982,3.1546592254017014e-06
38,2319,,2.0581089756888105e-06,,
38,2329,,2.090725729431142e-06,,
38,2339,,2.2393082872440573e-06,,
38,2349,,1.8078864059134503e-06,,
38,2359,,3.5887362628272967e-06,,
38,2369,,1.6031452787501621e-06,,
38,2378,,,5.007028102874756,1.4952846640881035e-06
39,2379,,1.2382183740555774e-05,,
39,2389,,2.3405050342262257e-06,,
39,2399,,2.2871338387631113e-06,,
39,2409,,2.332927351744729e-06,,
39,2419,,1.377126181978383e-06,,
39,2429,,1.7367045757055166e-06,,
39,2439,,6.327067012534826e-07,,
39,2439,,,6.818933486938477,2.7732987746276194e-06
40,2449,,1.460125645280641e-06,,
40,2459,,1.2551721511044889e-06,,
40,2469,,2.492889507266227e-06,,
40,2479,,2.8602230486285407e-06,,
40,2489,,4.045429250254529e-06,,
40,2499,,5.144882379681803e-06,,
40,2500,,,5.192640781402588,1.60820104611048e-06
41,2509,,2.4498092443536734e-06,,
41,2519,,2.2757285478292033e-06,,
41,2529,,3.2903235478443094e-06,,
41,2539,,2.8440892947401153e-06,,
41,2549,,5.464879450300941e-06,,
41,2559,,4.436750259628752e-06,,
41,2561,,,6.922671794891357,2.858322659449186e-06
42,2569,,2.47302796196891e-06,,
42,2579,,1.9917301870009396e-06,,
42,2589,,2.3261297883436782e-06,,
42,2599,,1.637634341022931e-06,,
42,2609,,5.509367383638164e-06,,
42,2619,,5.327794042386813e-06,,
42,2622,,,7.161685943603516,3.0591045288019814e-06
43,2629,,2.3430538931279443e-06,,
43,2639,,2.9217951578175416e-06,,
43,2649,,1.494381081101892e-06,,
43,2659,,4.020871529064607e-06,,
43,2669,,2.996805733346264e-06,,
43,2679,,2.9551288207585458e-06,,
43,2683,,,7.954594612121582,3.7739821436844068e-06
44,2689,,3.018915094799013e-06,,
44,2699,,2.6737895950645907e-06,,
44,2709,,1.3113460681779543e-06,,
44,2719,,6.00688872509636e-06,,
44,2729,,1.2173029517725809e-06,,
44,2739,,4.147859726799652e-06,,
44,2744,,,4.249680042266846,1.077150045603048e-06
45,2749,,1.302282953474787e-06,,
45,2759,,1.1905264045708464e-06,,
45,2769,,2.5918079700204544e-06,,
45,2779,,2.494570480848779e-06,,
45,2789,,1.8863185005102423e-06,,
45,2799,,1.8909479422291042e-06,,
45,2805,,,3.871476411819458,8.939578037825413e-07
46,2809,,3.3852836622827454e-06,,
46,2819,,3.609405894167139e-06,,
46,2829,,1.5028266489025555e-06,,
46,2839,,7.343254310399061e-06,,
46,2849,,1.404205886501586e-05,,
46,2859,,2.5567724151187576e-06,,
46,2866,,,4.5481157302856445,1.2337487760305521e-06
47,2869,,1.1045722203562036e-05,,
47,2879,,3.3674523365334608e-06,,
47,2889,,1.3316399645191268e-06,,
47,2899,,2.2504100343212485e-06,,
47,2909,,1.0542725249251816e-05,,
47,2919,,5.813612915517297e-06,,
47,2927,,,5.91214656829834,2.084750803987845e-06
48,2929,,2.0912373202008894e-06,,
48,2939,,1.7208152485181927e-06,,
48,2949,,4.1752382458071224e-06,,
48,2959,,1.6973173160295119e-06,,
48,2969,,3.239016223233193e-06,,
48,2979,,1.8236351024825126e-06,,
48,2988,,,3.833876371383667,8.766777455093688e-07
49,2989,,1.6613255411357386e-06,,
49,2999,,1.8367687744103023e-06,,
49,3009,,1.162300463874999e-06,,
49,3019,,1.3386471664489363e-06,,
49,3029,,2.2419246761273826e-06,,
49,3039,,7.297029696928803e-06,,
49,3049,,2.98341979032557e-06,,
49,3049,,,6.632765293121338,2.6239345061185304e-06
50,3059,,1.7723771179589676e-06,,
50,3069,,5.8166733651887625e-06,,
50,3079,,2.0902284632029478e-06,,
50,3089,,1.9298004190204665e-06,,
50,3099,,1.974103952306905e-06,,
50,3109,,9.778776075108908e-06,,
50,3110,,,9.40149211883545,5.271781446936075e-06
51,3119,,9.166465133603197e-06,,
51,3129,,1.5780700550749316e-06,,
51,3139,,1.4735791182829416e-06,,
51,3149,,1.2281821000215132e-06,,
51,3159,,1.3724185237151687e-06,,
51,3169,,3.872633897117339e-06,,
51,3171,,,5.332897186279297,1.696251388239034e-06
52,3179,,1.0978617410728475e-06,,
52,3189,,1.7151589872810291e-06,,
52,3199,,3.6283943245507544e-06,,
52,3209,,5.208272341405973e-06,,
52,3219,,2.1233286133792717e-06,,
52,3229,,5.378085461416049e-06,,
52,3232,,,7.312430381774902,3.189240260326187e-06
53,3239,,3.270268962296541e-06,,
53,3249,,2.554704224166926e-06,,
53,3259,,2.175128429371398e-06,,
53,3269,,2.8329661745374324e-06,,
53,3279,,2.2581525627174415e-06,,
53,3289,,4.611907115759095e-06,,
53,3293,,,4.74241304397583,1.3414130535238655e-06
54,3299,,5.136865638633026e-06,,
54,3309,,2.315367055416573e-06,,
54,3319,,1.5239340882544639e-06,,
54,3329,,1.4246031696529826e-06,,
54,3339,,7.464752343366854e-06,,
54,3349,,3.953269697376527e-06,,
54,3354,,,7.915075778961182,3.7365769003372407e-06
55,3359,,0.00019802682800218463,,
55,3369,,2.531452992116101e-06,,
55,3379,,2.29691841013846e-06,,
55,3389,,1.4840712765362696e-06,,
55,3399,,1.6885012428247137e-06,,
55,3409,,2.107674845319707e-06,,
55,3415,,,3.448150873184204,7.091470592968108e-07
56,3419,,1.6572581671425723e-06,,
56,3429,,2.659271558513865e-06,,
56,3439,,1.2077366591256578e-06,,
56,3449,,1.44466230267426e-06,,
56,3459,,5.644438715535216e-06,,
56,3469,,6.99942711435142e-06,,
56,3476,,,3.360422372817993,6.735215265507577e-07
57,3479,,2.321153715456603e-06,,
57,3489,,1.920843942571082e-06,,
57,3499,,3.7022705328126904e-06,,
57,3509,,2.713313051572186e-06,,
57,3519,,2.178773229388753e-06,,
57,3529,,3.452361625022604e-06,,
57,3537,,,6.162683963775635,2.265184321004199e-06
58,3539,,1.5328369045164436e-05,,
58,3549,,9.08317815628834e-06,,
58,3559,,3.061965799133759e-06,,
58,3569,,1.2293450026845676e-06,,
58,3579,,2.9261764211696573e-06,,
58,3589,,7.487854873033939e-06,,
58,3598,,,4.862295627593994,1.4100888847679016e-06
59,3599,,9.850446076598018e-07,,
59,3609,,1.18865455078776e-06,,
59,3619,,1.9122755929856794e-06,,
59,3629,,6.4835753619263414e-06,,
59,3639,,2.5670876766525907e-06,,
59,3649,,7.775294761813711e-06,,
59,3659,,1.689719283604063e-05,,
59,3659,,,9.582765579223633,5.4770343922427855e-06
60,3669,,2.1329362880351255e-06,,
60,3679,,1.8054751080853748e-06,,
60,3689,,1.39896769724146e-06,,
60,3699,,2.620773784656194e-06,,
60,3709,,3.1548845527140656e-06,,
60,3719,,3.8432249311881606e-06,,
60,3720,,,3.3508265018463135,6.69680559894914e-07
61,3729,,3.036963107660995e-06,,
61,3739,,3.7704983242292656e-06,,
61,3749,,1.6099396589197568e-06,,
61,3759,,1.76570563326095e-06,,
61,3769,,2.605934923849418e-06,,
61,3779,,8.711832379049156e-06,,
61,3781,,,5.372375965118408,1.721458716019697e-06
62,3789,,2.2777328467782354e-06,,
62,3799,,1.7498368833912537e-06,,
62,3809,,3.701781452036812e-06,,
62,3819,,1.6937373175096582e-06,,
62,3829,,3.6179949347570073e-06,,
62,3839,,2.3838001652620733e-06,,
62,3842,,,6.735229015350342,2.7056303224526346e-06
63,3849,,2.335147428311757e-06,,
63,3859,,2.6496693408262217e-06,,
63,3869,,1.9156366306560813e-06,,
63,3879,,2.2285078102868283e-06,,
63,3889,,1.2232449080329388e-06,,
63,3899,,2.6188913579971995e-06,,
63,3903,,,5.770707130432129,1.986194774872274e-06
64,3909,,1.0594035302347038e-05,,
64,3919,,1.924399384733988e-06,,
64,3929,,2.000610720642726e-06,,
64,3939,,1.8760634930004016e-06,,
64,3949,,1.5225284641928738e-06,,
64,3959,,1.4868669495626818e-06,,
64,3964,,,4.462100028991699,1.1875240488734562e-06
65,3969,,1.6777693190306309e-06,,
65,3979,,1.7402481944372994e-06,,
65,3989,,8.907961159820843e-07,,
65,3999,,1.7083632428693818e-06,,
65,4009,,1.7687095805740682e-06,,
65,4019,,1.961531779670622e-06,,
65,4025,,,3.299687623977661,6.493957016573404e-07
66,4029,,1.709383695924771e-06,,
66,4039,,1.5949026419548318e-06,,
66,4049,,1.2046159554301994e-06,,
66,4059,,1.6019270105971373e-06,,
66,4069,,1.7179120277432958e-06,,
66,4079,,5.102499471831834e-06,,
66,4086,,,4.003737449645996,9.560816351950052e-07
67,4089,,2.173235998270684e-06,,
67,4099,,2.5097886009461945e-06,,
67,4109,,1.9313015400257427e-06,,
67,4119,,1.7345969354209956e-06,,
67,4129,,4.288345280656358e-06,,
67,4139,,5.756091013608966e-06,,
67,4147,,,5.114975452423096,1.5604535974489409e-06
68,4149,,1.2833796745326254e-06,,
68,4159,,1.3607543678517686e-06,,
68,4169,,1.5992794715202763e-06,,
68,4179,,5.373767180572031e-06,,
68,4189,,9.179570042761043e-06,,
68,4199,,8.77749243954895e-06,,
68,4208,,,7.001424789428711,2.9237253329483792e-06
69,4209,,2.5691606424516067e-06,,
69,4219,,7.981357157405e-07,,
69,4229,,2.0976995074306615e-06,,
69,4239,,1.2093248642486287e-06,,
69,4249,,1.3310165059010615e-06,,
69,4259,,4.980029189027846e-06,,
69,4269,,3.0966007216193248e-06,,
69,4269,,,5.074417591094971,1.535805267849355e-06
70,4279,,2.1501159608305898e-06,,
70,4289,,9.842822237260407e-07,,
70,4299,,3.3051392165361904e-06,,
70,4309,,1.912429297590279e-06,,
70,4319,,1.1121521765744546e-06,,
70,4329,,1.0818748705787584e-06,,
70,4330,,,5.494668483734131,1.800722316147585e-06
71,4339,,1.8991878505403292e-06,,
71,4349,,3.556185220077168e-06,,
71,4359,,1.5077737316460116e-06,,
71,4369,,1.9634571799542755e-06,,
71,4379,,6.722486432408914e-06,,
71,4389,,1.6583715023443801e-06,,
71,4391,,,3.9195964336395264,9.163184131466551e-07
72,4399,,1.725615675240988e-06,,
72,4409,,1.7289592051383806e-06,,
72,4419,,1.5873903294050251e-06,,
72,4429,,7.531637038482586e-06,,
72,4439,,2.8094634672015673e-06,,
72,4449,,1.8492456774765742e-06,,
72,4452,,,3.9136388301849365,9.135350182987167e-07
73,4459,,1.4938564163458068e-06,,
73,4469,,8.211025487980805e-06,,
73,4479,,2.8416520763130393e-06,,
73,4489,,2.05033438760438e-06,,
73,4499,,3.764379016502062e-06,,
73,4509,,1.75088791820599e-06,,
