,RevIN-CNN-iTransformer-BiLSTM,RevIN-CNN-Transformer-BiLSTM,CNN-BiLSTM-Attention,SCINet,GAN,Transformer,iTransformer,CNN-iTransformer-BiLSTM,RevIN-iTransformer-BiLSTM,RevIN-CNN-iTransformer,CNN-Transformer-BiLSTM,RevIN-Transformer-BiLSTM,RevIN-CNN-Transformer,xLSTM,Mamba
RMSE,4.539936053554958,5.25457351615716,21.91197274032793,6.017420456228236,11.913701601195877,9.828336653934924,9.002946682406403,19.05681800165899,5.705531668800511,4.6913066351150725,4.884780253067672,4.916920111075346,5.458772488104047,28.654993950189738,5.105830693893319
MAPE,1.6850210534729273,2.1024851364652086,7.479758449956904,2.444156356547788,4.3439586898109495,3.930445904209393,3.630047245469296,7.840106968359368,2.103425700809885,1.7441477143041808,1.8745635919952848,1.9085570613307836,2.150842401539935,12.041235510930932,1.7952082423564717
R^2,0.9684023187438784,0.9576717135535366,0.2639307072338787,0.9444893313639328,0.7824048661478773,0.8519133902594449,0.8757417884069105,0.4432547569036397,0.9500945492048136,0.9662601316892536,0.9634198227977444,0.962936873967846,0.9543179346774062,-0.2587989864488862,0.9600341952890044
RMSRE,0.0217785593870502,0.0254471458770787,0.0959055150797139,0.0302235278407989,0.0564945591723668,0.0450509606771797,0.0418311146737349,0.0866194566593327,0.027017368166917,0.0225079227805968,0.0224563256117158,0.0237909344322664,0.0265434040708293,0.136516315701875,0.0234754203356858
RMSPE,2.1778559387050205,2.544714587707874,9.590551507971393,3.0223527840798994,5.649455917236685,4.505096067717979,4.183111467373493,8.661945665933276,2.701736816691708,2.250792278059682,2.245632561171586,2.3790934432266497,2.654340407082937,13.651631570187504,2.347542033568583
MARE,0.016850210534721,0.0210248513646416,0.0747975844995346,0.0244415635654655,0.0434395868980882,0.0393044590420751,0.0363004724546755,0.0784010696835565,0.0210342570080886,0.0174414771430332,0.0187456359199439,0.0190855706132984,0.0215084240153887,0.1204123551092505,0.0179520824235561
