,RevIN-CNN-iTransformer-BiLSTM,RevIN-CNN-Transformer-BiLSTM,CNN-BiLSTM-Attention,SCINet,GAN,Transformer,iTransformer,CNN-iTransformer-BiLSTM,RevIN-iTransformer-BiLSTM,RevIN-CNN-iTransformer,CNN-Transformer-BiLSTM,RevIN-Transformer-BiLSTM,RevIN-CNN-Transformer,xLSTM,Mamba
RMSE,1.2857738416973348,1.8800596731900203,10.587314946907496,5.931856443413581,5.432364047159947,6.743682882705299,4.266827127854521,4.596934551438835,1.811466700570792,1.8412497146962,6.309825820469043,1.712005577028784,2.043313322024084,27.45223152088368,16.656213515119607
MAPE,1.8287317049916576,2.6849468540615264,15.671783851316498,8.927579985907807,7.626554978514674,11.455150583680616,6.044034833644223,5.325047891587949,2.618633280089837,2.5914017395301494,10.382645002633756,2.451147088606676,2.937395272061178,39.40453510772858,21.55129761663392
R^2,0.9881406055552098,0.9746442413128452,0.1959093598402698,0.7475853217173951,0.7883047690276779,0.6737672017733966,0.8693999217664533,0.8484101989467983,0.9764606724659112,0.9756802712350546,0.7143935022370482,0.9789746278251594,0.9700495553120282,-4.406156922782036,-0.9901504112306136
RMSRE,0.025376472290658,0.0387352683098495,0.1763176641734654,0.0967804257220331,0.1017424709751403,0.1237494550396032,0.0683749660602299,0.0685616461902933,0.0384073858467392,0.0366831905847,0.1059968184131815,0.034942445301226,0.0397333894709636,0.4200929288404679,0.2992897459897812
RMSPE,2.5376472290658034,3.8735268309849498,17.631766417346544,9.678042572203314,10.174247097514032,12.374945503960324,6.837496606022999,6.856164619029334,3.840738584673927,3.668319058470008,10.59968184131815,3.494244530122609,3.973338947096368,42.00929288404679,29.92897459897812
MARE,0.0182873170498808,0.0268494685405611,0.1567178385128886,0.0892757998589205,0.0762655497850024,0.1145515058365894,0.0604403483363373,0.0532504789157888,0.0261863328008446,0.02591401739525,0.1038264500261515,0.0245114708860178,0.029373952720554,0.3940453510766332,0.2155129761659457
