epoch,step,test_RMSE,train_loss,val_RMSE,val_loss
0,9,,0.00024242352810688317,,
0,19,,0.0002676241856534034,,
0,29,,0.00023043036344461143,,
0,39,,0.0001643381401663646,,
0,49,,0.00025357570848427713,,
0,59,,0.0001775555865606293,,
0,60,,,200.90609741210938,0.00012416350364219397
1,69,,0.00011527726746862754,,
1,79,,0.0001771910028764978,,
1,89,,0.00010354569531045854,,
1,99,,9.253884491045028e-05,,
1,109,,0.00015858086408115923,,
1,119,,0.00011806248949142173,,
1,121,,,160.12913513183594,9.898423741105944e-05
2,129,,0.00012919849541503936,,
2,139,,0.00012969356612302363,,
2,149,,0.00011952549539273605,,
2,159,,9.978565503843129e-05,,
2,169,,9.859452984528616e-05,,
2,179,,0.00014846718113403767,,
2,182,,,128.17599487304688,7.919298514025286e-05
3,189,,9.71125191426836e-05,,
3,199,,8.224789053201675e-05,,
3,209,,8.265413634944707e-05,,
3,219,,7.318292045965791e-05,,
3,229,,9.079426672542468e-05,,
3,239,,8.093433280009776e-05,,
3,243,,,89.8033447265625,5.530699127120897e-05
4,249,,8.937302482081577e-05,,
4,259,,6.913494144100696e-05,,
4,269,,0.00011522975546540692,,
4,279,,6.900788866914809e-05,,
4,289,,6.624833622481674e-05,,
4,299,,5.9772515669465065e-05,,
4,304,,,72.21983337402344,4.441007331479341e-05
5,309,,8.290830737678334e-05,,
5,319,,6.991974805714563e-05,,
5,329,,0.00010244897566735744,,
5,339,,5.7511650084052235e-05,,
5,349,,5.494528522831388e-05,,
5,359,,7.264162559295073e-05,,
5,365,,,69.66155242919922,4.280418943380937e-05
6,369,,5.593863170361146e-05,,
6,379,,7.337080751312897e-05,,
6,389,,6.438362470362335e-05,,
6,399,,0.00011001357779605314,,
6,409,,0.00016847024380695075,,
6,419,,5.6657270761206746e-05,,
6,426,,,84.25001525878906,5.19705681654159e-05
7,429,,6.741222750861198e-05,,
7,439,,5.6278535339515656e-05,,
7,449,,5.7469467719784006e-05,,
7,459,,5.046334626968019e-05,,
7,469,,4.957042619935237e-05,,
7,479,,7.548119901912287e-05,,
7,487,,,60.653961181640625,3.727973671630025e-05
8,489,,6.002122609061189e-05,,
8,499,,5.513149153557606e-05,,
8,509,,3.931988976546563e-05,,
8,519,,6.398492405423895e-05,,
8,529,,6.45680192974396e-05,,
8,539,,6.283383845584467e-05,,
8,548,,,46.73677444458008,2.855916682165116e-05
9,549,,3.46289889421314e-05,,
9,559,,6.066199784982018e-05,,
9,569,,4.70801314804703e-05,,
9,579,,5.308711843099445e-05,,
9,589,,4.191200059722178e-05,,
9,599,,6.237908382900059e-05,,
9,609,,5.028188388678245e-05,,
9,609,,,37.92451095581055,2.3035445337882265e-05
10,619,,6.744696293026209e-05,,
10,629,,6.0122467402834445e-05,,
10,639,,7.629644096596166e-05,,
10,649,,5.499270628206432e-05,,
10,659,,5.489018440130167e-05,,
10,669,,4.598189116222784e-05,,
10,670,,,52.55038833618164,3.22755440720357e-05
11,679,,6.8622590333689e-05,,
11,689,,6.0738810134353116e-05,,
11,699,,4.245419768267311e-05,,
11,709,,4.991616151528433e-05,,
11,719,,4.139119482715614e-05,,
11,729,,7.77839741203934e-05,,
11,731,,,81.98020935058594,5.0654674851102754e-05
12,739,,3.3413805795134977e-05,,
12,749,,6.381126149790362e-05,,
12,759,,6.693820614600554e-05,,
12,769,,8.771823922870681e-05,,
12,779,,5.647058424074203e-05,,
12,789,,5.5757536756573245e-05,,
12,792,,,77.28623962402344,4.776521382154897e-05
13,799,,6.40520520391874e-05,,
13,809,,5.163664172869176e-05,,
13,819,,4.6278673835331574e-05,,
13,829,,4.8352590965805575e-05,,
13,839,,2.821165071509313e-05,,
13,849,,5.437957952381112e-05,,
13,853,,,24.117876052856445,1.4508297681459226e-05
14,859,,5.435349157778546e-05,,
14,869,,5.3386040235636756e-05,,
14,879,,4.123923645238392e-05,,
14,889,,4.625481597031467e-05,,
14,899,,4.4932188757229596e-05,,
14,909,,3.814619412878528e-05,,
14,914,,,48.870155334472656,3.007479608641006e-05
15,919,,4.834133869735524e-05,,
15,929,,5.285175939206965e-05,,
15,939,,5.418343789642677e-05,,
15,949,,4.514989268500358e-05,,
15,959,,3.693355029099621e-05,,
15,969,,3.797855242737569e-05,,
15,975,,,15.760050773620605,9.194959602609742e-06
16,979,,3.3378055377397686e-05,,
16,989,,3.669631769298576e-05,,
16,999,,4.5760512875858694e-05,,
16,1009,,4.399461977300234e-05,,
16,1019,,2.881251748476643e-05,,
16,1029,,3.01919317280408e-05,,
16,1036,,,32.85868453979492,2.011411743296776e-05
17,1039,,3.102473419858143e-05,,
17,1049,,3.303725679870695e-05,,
17,1059,,3.2807769457576796e-05,,
17,1069,,4.065762914251536e-05,,
17,1079,,3.2903302781051025e-05,,
17,1089,,4.070138675160706e-05,,
17,1097,,,10.55994987487793,7.2220955189550295e-06
18,1099,,9.25831773201935e-05,,
18,1109,,7.039403135422617e-05,,
18,1119,,2.404689439572394e-05,,
18,1129,,4.431795241544023e-05,,
18,1139,,5.244240310275927e-05,,
18,1149,,4.316218110034242e-05,,
18,1158,,,22.65727996826172,1.3685770682059228e-05
19,1159,,2.6352203349233605e-05,,
19,1169,,2.9849537895643152e-05,,
19,1179,,2.959004632430151e-05,,
19,1189,,4.020839332952164e-05,,
19,1199,,4.109931251150556e-05,,
19,1209,,8.657870785100386e-05,,
19,1219,,2.004148882406298e-05,,
19,1219,,,24.70676040649414,1.4988392649684101e-05
20,1229,,4.503236777964048e-05,,
20,1239,,2.5818484573392197e-05,,
20,1249,,3.6822686524828896e-05,,
